Family,Group,English Name,Scientific Name,IUCN Category
Bataguridae (River terrapins),River terrapins,Indian tent turtle,Pangshura tentoria,Least Concern
Bataguridae (River terrapins),River terrapins,Asian leaf-turtle,Cyclemys dentata,Near Threatened
Bataguridae (River terrapins),River terrapins,Indian black turtle,Melanochelys trijuga,Least Concern
Bataguridae (River terrapins),River terrapins,Gemel's leaf turtle,Cyclemys gemeli,Not Evaluated
Bataguridae (River terrapins),River terrapins,Brown roofed turtle,Pangshura smithii,Not Evaluated
Bataguridae (River terrapins),River terrapins,Indian roofed turtle,Pangshura tectum,Not Evaluated
Bataguridae (River terrapins),River terrapins,Southeast Asian box turtle,Cuora amboinensis,Vulnerable
Bataguridae (River terrapins),River terrapins,Spotted pond turtle,Geoclemys hamiltonii,Vulnerable
Bataguridae (River terrapins),River terrapins,Crowned river turtle,Hardella thurjii,Vulnerable
Bataguridae (River terrapins),River terrapins,Tricarinate hill turtle,Melanochelys tricarinata,Vulnerable
Bataguridae (River terrapins),River terrapins,Indian eyed turtle,Morenia petersi,Vulnerable
Chamaeleonidae (Chamaeleon),Chameleon,Indian Chamaeleon,Chamaeleo zeylanicus,Least Concern
Cheloniidae (Sea turtles),Sea turtles,Hawksbill sea turtle,Eretmochelys imbricata,Critically Endangered
Cheloniidae (Sea turtles),Sea turtles,Green sea turtle,Chelonia mydas,Endangered
Cheloniidae (Sea turtles),Sea turtles,Loggerhead sea turtle,Caretta caretta,Vulnerable
Cheloniidae (Sea turtles),Sea turtles,Olive ridley sea turtle,Lepidochelys olivacea,Vulnerable
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Cat snake,Beddome's cat snake,Boiga beddomei,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Cat snake,Travancore cat snake,Boiga dightoni,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Cat snake,Many-banded cat snake,Boiga multifasciata,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Cat snake,Nicobar cat snake,Boiga wallachi,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Bridal snake,Slender bridal snake,Dryocalamus gracilis,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Red-striped kukri snake,Oligodon erythrorhachis,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Nikhil's kukri snake,Oligodon nikhili,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Travancore kukri snake,Oligodon travancoricus,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Black-headed snake,Pegu black-headed snake,Sibynophis bistrigatus,Data Deficient
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Vine snake,Bronze-headed vine snake,Ahaetulla perroteti,Endangered
