Family,Group,English Name,Scientific Name,IUCN Category
Cercopithecidae (Old World Monkeys),Langur,Tufted Gray Langur,Semnopithecus priam,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Wild sheep,Urial,Ovis orientalis,Least Concern
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Variable Flying Fox,Pteropus hypomelanus,Least Concern
Soricidae (Shrews),Shrews,Voracious Shrew,Crocidura vorax,Least Concern
Hylobatidae (Gibbons),Gibbons,Western Hoolock Gibbon,Hoolock hoolock,Endangered
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Western Long-fingered Bat,Miniopterus magnate,Least Concern
Talpidae (Moles),Moles,White-tailed Mole,Parascaptor leucura,Least Concern
Cricetidae (New World Rodents),Voles,White-tailed Mountain Vole,Alticola albicaudus,Endangered
Suidae (Pigs),Pigs,Wild Pig,Sus scrofa,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Yak,Wild Yak,Bos mutus,Endangered
Felidae (Cats),Small cats,Asiatic Wildcat,Felis lybica ornata,Least Concern
Leporidae (Hares And Rabbits),Hares And Rabbits,Woolly Hare,Lepus oiostolus,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Woolly Horseshoe Bat,Rhinolophus luctus,Near Threatened
Sciuridae (Squirrels),Flying squirrels,Wooly flying squirrel,Eupetaurus cinereus,Least Concern
Molossidae (Free-Tailed Bats),Free-Tailed Bats,Wrinkle-lipped Free-tailed Bat,Chaerephon plicatus,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Martens and weasels,Yellow-bellied Weasel,Mustela kathiah,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Otters,Yellow-throated Marten,Martes flavigula,Least Concern
