Family,Group,English Name,Scientific Name,IUCN Category
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Horseshoe Bat,Rhinolophus luctus,Near Threatened
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Horseshoe Bat,Rhinolophus trifoliatus,Near Threatened
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Horsfield's Myotis,Myotis horsfieldii,Least Concern
Cricetidae (New World Rodents),Mouse,House Mouse,Mus musculus,Least Concern
Cricetidae (New World Rodents),New World Rodents,Hume's Hadromys,Hadromys humei,Data Deficient
Balaenopteridae (Rorquals),Whales,Humpback Whale,Megaptera novaeangliae,Least Concern
Vespertilionidae (Vesper Bats),Tube-nosed bat (vesper bats),Hutton's Tube-nosed Bat,Murina huttoni,Least Concern
Cricetidae (New World Rodents),Rats,Indian Bush Rat,Golunda ellioti,Least Concern
Tragulidae (Mouse Deer),Mouse Deer,Indian Chevrotain,Moschiola indica,Least Concern
Hystricidae (Old World Porcupines),Porcupines,Indian Creasted Porcupine,Hystrix indica,Least Concern
Cricetidae (New World Rodents),New World Rodents,Indian Desert Jird,Meriones hurrianae,Least Concern
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Indian Flying Fox,Pteropus giganteus,Least Concern
"Bovidae (Cattle, Antelope, Sheep, Goat)",Antelope,Indian Gazelle,Gazella bennettii,Least Concern
Cricetidae (New World Rodents),New World Rodents,Indian Gerbil,Tatera indica,Vulnerable
Sciuridae (Squirrels),Flying squirrels,Indian giant flying squirrel,Petaurista philippensis,Least Concern
Sciuridae (Squirrels),Giant squirrels,Indian Giant Squirrel,Ratufa indica,Data Deficient
Cricetidae (New World Rodents),New World Rodents,Indian Hairy Footed,Gerbillus gleadowi,Least Concern
Leporidae (Hares And Rabbits),Hares And Rabbits,Indian Hare,Lepus nigricollis,Least Concern
Erinaceidae (Hedgehogs),Hedgehogs,Indian Hedgehog,Paraechinus micropus,Least Concern
Erinaceidae (Hedgehogs),Hedgehogs,Indian Long-eared Hedgehog,Hemiechinus collaris,Least Concern
Cricetidae (New World Rodents),Rats,Indian Mole Rat,Bandicota bengalensis,Endangered
Cervidae (Deer),Deer,Indian Muntjac,Muntiacus muntjak,Least Concern
Sciuridae (Squirrels),Squirrels,Indian Palm Squirrel,Funambulus palmarum,Least Concern
Manidae (Pangolins),Pangolins,Indian Pangolin,Manis crassicaudata,Least Concern
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Indian Pipistrelle,Pipistrellus coromandra,Least Concern
Rhinocerotidae (Rhinoceroses),Rhinoceroses,Indian Rhinoceros,Rhinoceros unicornis,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Buffalo,Indian Water Buffalo,Bubalus arnee,Endangered
Cricetidae (New World Rodents),Niviventer,Indochinese Arboreal Niviventer,Niviventer langbianis,Least Concern
Cricetidae (New World Rodents),Rats,Indochinese Forest Rat,Rattus andamanensis,Least Concern
Cricetidae (New World Rodents),Mouse,Indomalayan Pencil-tailed Tree mouse,Chiropodomys gliroides,Least Concern
Cricetidae (New World Rodents),New World Rodents,Indomalayan Vandeleuria,Vandeleuria oleracea,Vulnerable
Ziphiidae (Beaked Whales),Whales,Indo-Pacific beaked Whale,Indopacetus pacificus,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Indo-Pacific Bottlenose Dolphin,Tursiops aduncus,Vulnerable
Delphinidae (Marine Dolphins),Marine Dolpins,Indo-Pacific hump-back Dolphin,Sousa chinensis,Vulnerable
Platanistidae (River Dolphins),River Dolphins,Indus River Dolphin,Platanista gangetica minor,Endangered
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Intemediate Horseshoe Bat,Rhinolophus affinis,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Intermediate Leaf-nosed Bat,Hipposideros larvatus,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Irrawaddy Dolphin,Orcaella brevirostris,Least Concern
Sciuridae (Squirrels),Squirrels,Irrawardy Squirrel,Callosciurus pygerythrus,Endangered
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Japanese Pipistrelle,Pipistrellus abramus,Least Concern
Herpestidae (Mongooses),Mongooses,Javan Mongoose,Herpestes javanicus,Least Concern
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Javan Pipistrelle,Pipistrellus javanicus,Least Concern
Soricidae (Shrews),Shrews,Jenkin's Shrew,Crocidura jenkinsi,Critically Endangered
Viverridae (Civets And Palm Civets),Civets And Palm Civets,Jerdon's Palm Civet,Paradoxurus jerdoni,Data Deficient
Felidae (Cats),Small cats,Jungle Cat,Felis chaus,Least Concern
Sciuridae (Squirrels),Squirrels,Jungle Palm squirrel,Funambulus tristriatus,Data Deficient
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Kashmir Cave Myotis,Myotis longipes,Least Concern
Cricetidae (New World Rodents),Mouse,Kashmir Field Mouse,Apodemus rusiges,Endangered
Sciuridae (Squirrels),Flying squirrels,Kashmir Flying squirrel,Eoglaucomys fimbriatus,Least Concern
Cercopithecidae (Old World Monkeys),Langur,Kashmir gray langur,Semnopithecus ajax,Vulnerable
Cricetidae (New World Rodents),Voles,Kashmir Mountain Vole,Alticola montosa,Endangered
Moschidae (Musk Deer),Musk Deer,Kashmir Musk Deer,Moschus cupreus,Endangered
Soricidae (Shrews),Shrews,Kashmir Pygmy Shrew,Sorex planiceps,Vulnerable
Soricidae (Shrews),Shrews,Kashmir White-toothed Shrew,Crocidura pullata,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Kelaart's Leaf-nosed Bat,Hipposideros lankadiva,Least Concern
Soricidae (Shrews),Shrews,Kelaart's Long-clawed Shrew,Feroculus feroculus,Least Concern
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Kelaart's Pipistrelle,Pipistrellus ceylonicus,Least Concern
Equidae (Asses),Wild ass,Kiang,Equus kiang,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Killer Whale,Orcinus orca,Least Concern
Cricetidae (New World Rodents),New World Rodents,Kondana rat,Millardia kondana,Endangered
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Kulh's Pipistrelle,Pipistrellus kuhlii,Least Concern
Cricetidae (New World Rodents),New World Rodents,Ladak Dwarf Hamster,Cricetulus alticola,Least Concern
Ochotonidae(Pikas),Pikas,Ladakh Pika,Ochotona ladacensis,Least Concern
Viverridae (Civets And Palm Civets),Civets And Palm Civets,Large Indian Civet,Viverra zibetha,Least Concern
Cricetidae (New World Rodents),Rats,Large Rock Rat,Cremnomys elvira,Critically Endangered
Cricetidae (New World Rodents),Mouse,Large-eared Field Mouse,Apodemus latronum,Endangered
Ochotonidae(Pikas),Pikas,Large-eared Pika,Ochotona macrotis,Least Concern
Sciuridae (Squirrels),Squirrels,Layard's striped Squirrel,Funambulus layardi,Least Concern
Cervidae (Deer),Deer,Leaf deer,Muntiacus putaoensis,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Leafletted Leaf-nosed Bat,Hipposideros hypophyllus,Data Deficient
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Leaf-nosed Bat,Hipposideros durgadasi,Data Deficient
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Least Horseshoe Bat,Rhinolophus pusillus,Near Threatened
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Least Pipistrelle,Pipistrellus tenuis,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Leisler's Noctule,Nyctalus leisleri,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Lenis Woolly Bat,Kerivoula lenis,Least Concern
Felidae (Cats),Big cats,Leopard,Panthera pardus,Vulnerable
Felidae (Cats),Small cats,Leopard Cat,Prionailurus bengalensis,Least Concern
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Leschenault's Rousette,Rousettus leschenaultia,Near Threatened
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Lesser Asiatic Yellow bat,Scotophilus kuhlii,Vulnerable
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Lesser Bamboo Bat,Tylonycteris pachypus,Vulnerable
Spalacidae (Spalacids),Bamboo rats,Lesser Bamboo Rat,Cannomys badius,Least Concern
Megadermatidae (False-Vampire Bats),False-Vampire Bats,Lesser False Vampire,Megaderma spasma,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Lesser Hairy-winged Bat,Harpiocephalus harpia,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Lesser Horseshoe Bat,Rhinolophus hipposideros,Near Threatened
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Lesser Large-footed Myotis,Myotis hasseltii,Least Concern
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Lesser Mouse-eared Myotis,Myotis blythii,Least Concern
Rhinopomatidae (Mouse-Tailed Bats),Mouse-Tailed Bats,Lesser Mouse-tailed Bat,Rhinopoma hardwickii,Near Threatened
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Lesser Short-nosed Fruit,Cynopterus brachyotis,Least Concern
Cercopithecidae (Old World Monkeys),Macaque,Lion-tailed Macaque,Macaca silenus,Endangered
Cricetidae (New World Rodents),Mouse,Little Indian Field mouse,Mus booduga,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Little Nepalese Horseshoe,Rhinolophus subbadius,Near Threatened
Vespertilionidae (Vesper Bats),Tube-nosed bat (vesper bats),Little Tube-nosed Bat,Murina aurata,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Long-beaked Common Dolphin,Delphinus capensis,Least Concern
Soricidae (Shrews),Shrews,Long-tailed Brown-toothed Shrew,Episoriculus leucops,Least Concern
Sciuridae (Squirrels),Squirrels,Long-tailed Marmot,Marmota caudata,Least Concern
Soricidae (Shrews),Shrews,Long-tailed Mountain Shrew,Episoriculus macrurus,Least Concern
Emballonuridae (Sheath-Tailed Bats),Sheath-tailed bats,Long-winged Tomb Bat,Taphozous longimanus,Vulnerable
Cricetidae (New World Rodents),New World Rodents,Mackenzie's Berylmys,Berylmys mackenziei,Endangered
Tupaiidae (Tree Shrews),Tree Shrews,Madras Tree shrew,Anathana ellioti,Endangered
Viverridae (Civets And Palm Civets),Civets And Palm Civets,Malabar Large-spotted Civet,Viverra civettina,Critically Endangered
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Mandelli's Mouse-eared Myotis,Myotis sicarius,Least Concern
Cricetidae (New World Rodents),New World Rodents,Manipur Berylmys,Berylmys manipulus,Endangered
Felidae (Cats),Small cats,Marbled cat,Pardofelis marmorata,Near Threatened
"Bovidae (Cattle, Antelope, Sheep, Goat)",Wild goat,Markhor,Capra falconeri,Least Concern
Viverridae (Civets And Palm Civets),Civets And Palm Civets,Masked Palm Civet,Paguma larvata,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Melon-headed Whale,Peponocephala electra,Least Concern
Cricetidae (New World Rodents),New World Rodents,Millard's Dacnomys,Dacnomys millardi,Least Concern
Cricetidae (New World Rodents),Rats,Miller's Nicobar Rat,Rattus burrus,Data Deficient
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Mitred Horseshoe Bat,Rhinolophus mitratus,Data Deficient
Vespertilionidae (Vesper Bats),Pipistrelle (Vesper Bats),Mount Popa Pipistrelle,Pipistrellus paterculus,Least Concern
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Mountain Noctule,Nyctalus montanus,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Martens and weasels,Mountain Weasel,Mustela altaica,Least Concern
Ochotonidae(Pikas),Pikas,Moupin Pika,Ochotona thibetana,Least Concern
Emballonuridae (Sheath-Tailed Bats),Sheath-tailed bats,Naked-rumped Pouched Bat,Saccolaimus saccolaimus,Near Threatened
Emballonuridae (Sheath-Tailed Bats),Sheath-tailed bats,Naked-rumped Tomb Bat,Taphozous nudiventris,Vulnerable
Sciuridae (Squirrels),Flying squirrels,Namdapha Flying squirrel,Biswamoyopterus biswasi,Critically Endangered
Cercopithecidae (Old World Monkeys),Langur,Nepal grey langur,Semnopithecus schistaceus,Vulnerable
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Nepalese Whiskered Myotis,Myotis muricola,Least Concern
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Nicobar Flying Fox,Pteropus faunulus,Data Deficient
Soricidae (Shrews),Shrews,Nicobar Shrew,Crocidura nicobarica,Critically Endangered
Tupaiidae (Tree Shrews),Tree Shrews,Nicobar Tree shrew,Tupaia nicobarica,Data Deficient
"Bovidae (Cattle, Antelope, Sheep, Goat)",Antelope,Nilgai,Boselaphus tragocamelus,Endangered
Cercopithecidae (Old World Monkeys),Langur,Nilgiri Langur,Semnopithecus johnii,Vulnerable
"Mustelidae (Badgers, Otters, Weasels)",Martens and weasels,Nilgiri Marten,Martes gwatkinsii,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Wild goat,Nilgiri tahr,Nilgiritragus hylocrius,Endangered
Cricetidae (New World Rodents),New World Rodents,Nilgiri Vandeleuria,Vandeleurianilagirica Jerdon,Data Deficient
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Noctule,Nyctalus noctula,Least Concern
Sciuridae (Squirrels),Squirrels,Northern Palm Squirrel,Funambulus pennantii,Least Concern
Cercopithecidae (Old World Monkeys),Macaque,Northern Pig-tailed Macaque,Macaca leonina,Least Concern
Cercopithecidae (Old World Monkeys),Langur,Northern plains gray,Semnopithecus entellus,Vulnerable
Tupaiidae (Tree Shrews),Tree Shrews,Northern Tree shrew,Tupaia belangeri,Vulnerable
Ochotonidae(Pikas),Pikas,Nubra Pika,Ochotona nubrica,Least Concern
Sciuridae (Squirrels),Squirrels,Orange bellied Himalayan,Dremomys lokriah,Least Concern
Cricetidae (New World Rodents),Rats,Oriental House Rat,Rattus tanezumi,Least Concern
"Mustelidae (Badgers, Otters, Weasels)",Otters,Asian Small-clawed Otter,Aonyx cinerea,Vulnerable
Vespertilionidae (Vesper Bats),Vesper Bats (Others),Painted Woolly Bat,Kerivoula picta,Least Concern
Felidae (Cats),Small cats,Pallas's Cat,Otocolobus manul,Least Concern
Sciuridae (Squirrels),Squirrels,Pallas's Squirrel,Callosciurus erythraeus,Endangered
Delphinidae (Marine Dolphins),Marine Dolpins,Pantropical Spinner Dolphin,Stenella longirostris,Vulnerable
Delphinidae (Marine Dolphins),Marine Dolpins,Pantropical Spotted Dolphin,Stenella attenuata,Vulnerable
Sciuridae (Squirrels),Flying squirrels,Parti-coloured Flying Squirrel,Hylopetes alboniger,Least Concern
Rhinolophidae (Horseshoe Bats),Horseshoe Bats,Pearson's Horseshoe Bat,Rhinolophus pearsonii,Near Threatened
Sciuridae (Squirrels),Squirrels,Perny's Long-nosed Squirrel,Dremomys pernyi,Least Concern
Vespertilionidae (Vesper Bats),Tube-nosed bat (vesper bats),Peters's Tube-nosed Bat,Harpiola grisea,Data Deficient
Cercopithecidae (Old World Monkeys),Langur,Phayre's leaf monkey,Trachypithecus phayrei,Vulnerable
Cricetidae (New World Rodents),Mouse,Phillips's Mouse,Mus phillipsi,Data Deficient
Ochotonidae(Pikas),Pikas,Pleteau Pika,Ochotona curzoniae,Least Concern
Hipposideridae (Old World Leaf-Nosed Bats),Old World Leaf-Nosed Bats,Pomona Leaf-nosed Bat,Hipposideros Pomona,Least Concern
Suidae (Pigs),Pigs,Pygmy Hog,Porcula salvania,Critically Endangered
Delphinidae (Marine Dolphins),Marine Dolpins,Pygmy Killer Whale,Feresa attenuata,Least Concern
Physeteridae (Sperm Whales),Whales,Pygmy Sperm Whale,Kogia breviceps,Least Concern
Cricetidae (New World Rodents),Rats,Ranjini's Rat,Rattus ranjiniae,Data Deficient
Pteropodidae (Old World Fruit Bats),Old World Fruit Bats,Ratanaworabhan's Fruit Bat,Megaerops niphanae,Least Concern
Cervidae (Deer),Deer,Hangul,Cervus hanglu,Critically Endangered
"Canidae (Dogs, Wolves, Jackals, Foxes)",Fox,Red Fox,Vulpes vulpes,Least Concern
Sciuridae (Squirrels),Flying squirrels,Red Giant Flying,Petaurista petaurista,Least Concern
"Bovidae (Cattle, Antelope, Sheep, Goat)",Goat-antelope,Red goral,Naemorhedus baileyi,Vulnerable
Ailuridae (Red Panda),Panda,Red Panda,Ailurus fulgens,Endangered
Cricetidae (New World Rodents),Voles,Red-backed Vole,Eothenomys melanogaster,Least Concern
Cercopithecidae (Old World Monkeys),Macaque,Rhesus macaque,Macaca mulatta,Least Concern
Delphinidae (Marine Dolphins),Marine Dolpins,Risso's Dolphin,Grampus griseus,Least Concern
